Harry Potter,Hannah Abbott,https://harrypotter.fandom.com/wiki/Hannah_Abbott
Harry Potter,Credence Barebone,https://harrypotter.fandom.com/wiki/Credence_Barebone
Harry Potter,Katie Bell,https://harrypotter.fandom.com/wiki/Katie_Bell
Harry Potter,Cuthbert Binns,https://harrypotter.fandom.com/wiki/Cuthbert_Binns
Harry Potter,Susan Bones,https://harrypotter.fandom.com/wiki/Susan_Bones
Harry Potter,Lavender Brown,https://harrypotter.fandom.com/wiki/Lavender_Brown
Harry Potter,Cho Chang,https://harrypotter.fandom.com/wiki/Cho_Chang
Harry Potter,Colin Creevey,https://harrypotter.fandom.com/wiki/Colin_Creevey
Harry Potter,Bartemius Crouch Senior,https://harrypotter.fandom.com/wiki/Bartemius_Crouch_Senior
Harry Potter,John Dawlish,https://harrypotter.fandom.com/wiki/John_Dawlish
Harry Potter,Fleur Delacour,https://harrypotter.fandom.com/wiki/Fleur_Delacour
Harry Potter,Cedric Diggory,https://harrypotter.fandom.com/wiki/Cedric_Diggory
Harry Potter,Armando Dippet,https://harrypotter.fandom.com/wiki/Armando_Dippet
Harry Potter,Aberforth Dumbledore,https://harrypotter.fandom.com/wiki/Aberforth_Dumbledore
Harry Potter,Albus Dumbledore,https://harrypotter.fandom.com/wiki/Albus_Dumbledore
Harry Potter,Ariana Dumbledore,https://harrypotter.fandom.com/wiki/Ariana_Dumbledore
Harry Potter,Marietta Edgecombe,https://harrypotter.fandom.com/wiki/Marietta_Edgecombe
Harry Potter,Grim Fawley,https://harrypotter.fandom.com/wiki/Grim_Fawley
Harry Potter,Justin Finch-Fletchley,https://harrypotter.fandom.com/wiki/Justin_Finch-Fletchley
Harry Potter,Seamus Finnigan,https://harrypotter.fandom.com/wiki/Seamus_Finnigan
Harry Potter,Nicolas Flamel,https://harrypotter.fandom.com/wiki/Nicolas_Flamel
Harry Potter,Mundungus Fletcher,https://harrypotter.fandom.com/wiki/Mundungus_Fletcher
Harry Potter,Filius Flitwick,https://harrypotter.fandom.com/wiki/Filius_Flitwick
Harry Potter,Cornelius Fudge,https://harrypotter.fandom.com/wiki/Cornelius_Fudge
Harry Potter,Marvolo Gaunt,https://harrypotter.fandom.com/wiki/Marvolo_Gaunt
Harry Potter,Morfin Gaunt,https://harrypotter.fandom.com/wiki/Morfin_Gaunt
Harry Potter,Porpentina Goldstein,https://harrypotter.fandom.com/wiki/Porpentina_Goldstein
